Pais;Costo de Vida;Ranking Global;Datos Disponibles;Continente
Bermuda;225.86;1;2017 - 2017;America
Iceland;209.1;2;2017 - 2017;Europe
Switzerland;197.89;3;2017 - 2017;Europe
Norway;186.52;4;2017 - 2017;Europe
Denmark;171.78;5;2017 - 2017;Europe
Barbados;169.9;6;2017 - 2017;America
Australia;168.02;7;2017 - 2017;Oceania
Israel;167.52;8;2017 - 2017;Asia
New Zealand;160.18;9;2017 - 2017;Oceania
Bahamas;158.09;10;2017 - 2017;America
Ireland;157.19;11;2017 - 2017;Europe
Luxembourg;156.4;12;2017 - 2017;Europe
Sweden;155.01;13;2017 - 2017;Europe
Finland;151.13;14;2017 - 2017;Europe
Japan;144.44;15;2017 - 2017;Asia
UK;144.03;16;2017 - 2017;Europe
USA;143.34;17;2017 - 2017;America
Canada;142.12;18;2017 - 2017;America
Netherlands;137.57;19;2017 - 2017;Europe
Belgium;136.89;20;2017 - 2017;Europe
France;135.27;21;2017 - 2017;Europe
Austria;134.56;22;2017 - 2017;Europe
Ant.& Barb.;131.03;23;2017 - 2017;not found
Germany;127.47;24;2017 - 2017;Europe
Italy;124.24;25;2017 - 2017;Europe
Uruguay;124.24;26;2017 - 2017;America
South Korea;123.53;27;2017 - 2017;Asia
Aruba;118.56;28;2017 - 2017;America
Hong Kong;114.81;29;2017 - 2017;Asia
Spain;113.82;30;2017 - 2017;Europe
Qatar;113.61;31;2017 - 2017;Asia
Montserrat;112.43;32;2017 - 2017;America
Singapore;112.16;33;2017 - 2017;Asia
UA Emirates;110.65;34;2017 - 2017;Asia
Saint Lucia;110.38;35;2017 - 2017;America
Cyprus;108.2;36;2017 - 2017;Asia
Portugal;106.46;37;2017 - 2017;Europe
Belize;105.86;38;2017 - 2017;America
Chile;105.82;39;2017 - 2017;America
Greece;104.66;40;2017 - 2017;Europe
Brazil;104.54;41;2017 - 2017;America
Slovenia;103.47;42;2017 - 2017;Europe
Malta;101.71;43;2017 - 2017;Europe
Dominica;99.61;44;2017 - 2017;America
Estonia;96.58;45;2017 - 2017;Europe
St. Vincent & ...;95.93;46;2017 - 2017;America
Grenada;95.54;47;2017 - 2017;America
Seychelles;94.81;48;2017 - 2017;Africa
Costa Rica;94.13;49;2017 - 2017;America
Slovakia;93.82;50;2017 - 2017;Europe
Argentina;93.54;51;2017 - 2017;America
Angola;92.68;52;2017 - 2017;Africa
Maldives;91.24;53;2017 - 2017;Asia
Latvia;89.68;54;2017 - 2017;Europe
Tr.&Tobago;89.05;55;2017 - 2017;America
Kuwait;88.57;56;2017 - 2017;Asia
China;87.94;57;2017 - 2017;Asia
Djibouti;84.48;58;2017 - 2017;Africa
Czechia;83.97;59;2017 - 2017;Europe
Peru;83.26;60;2017 - 2017;America
Croatia;82.76;61;2017 - 2017;Europe
Ecuador;82.35;62;2017 - 2017;America
Lithuania;79.09;63;2017 - 2017;Europe
Oman;78.88;64;2017 - 2017;Asia
